"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_EW","TH_LONG","SURVEY_DATE","OBS_TYPE","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALT","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU2","AREA_SIZE","TREE_HEIGHT_SRV","FEATURE_WIDTH","LAND_MNGT","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","TRANSECT","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W"
43782530,"IT","ITH","ITH2",45.880279999999999,"E",10.733302,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C30","C37",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C30 )PI",8,2,2,2,2
43782558,"IT","ITH","ITH2",46.132491000000002,"E",10.736724000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C20","C23",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C20 D10 E20 61 D20 )PI",8,2,2,2,2
43782560,"IT","ITH","ITH2",46.150503999999998,"E",10.736969999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C20","C23",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C20 62 C20 62 C20 )PI",8,2,2,2,2
43802208,"IT","ITI","ITI1",42.976512999999997,"E",10.721183,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
43802212,"IT","ITI","ITI1",43.012622999999998,"E",10.721622999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
43822244,"IT","ITI","ITI1",43.301281000000003,"E",10.749746999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
43822530,"IT","ITH","ITH2",45.879913000000002,"E",10.784758999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
43822544,"IT","ITH","ITH2",46.006022000000002,"E",10.786584,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 61 C30 )PI",8,2,2,2,2
43822550,"IT","ITH","ITH2",46.060065999999999,"E",10.787369999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C20","C23",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C20 )PI",8,2,2,2,2
43842526,"IT","ITH","ITH2",45.843687000000003,"E",10.809951,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D10 C10 62 C10 )PI",8,2,2,2,2
43842528,"IT","ITH","ITH2",45.861702999999999,"E",10.810219,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C30","C33",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C30 )PI",8,2,2,2,2
43842532,"IT","ITH","ITH2",45.897736000000002,"E",10.810756,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 61 C10 )PI",8,2,2,2,2
45102274,"IT","ITI","ITI3",43.548257,"E",12.3332,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D10","",3,"8","",0,2,"U364","8",1,0,0,3,8,0,0,0,3,0,0,0,"PI( D10 F00 C10 F00 C10 )PI",8,2,2,2,2
45102544,"IT","ITH","ITH4",45.981056000000002,"E",12.436445000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C30","C35",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C30 )PI",8,2,2,2,2
45122242,"IT","ITI","ITI2",43.259062,"E",12.346272000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
45122578,"IT","ITH","ITH4",46.286520000000003,"E",12.47622,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"F00","",5,"8","",0,1,"U400","8",3,0,0,3,8,0,0,0,3,0,0,0,"PI( F00 C10 )PI",8,2,2,2,2
45162556,"IT","ITH","ITH4",46.087282999999999,"E",12.518765999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D10","",5,"8","",0,2,"U400","8",2,1,0,3,8,0,0,0,3,0,0,0,"PI( D10 C10 F00 C10 )PI",8,2,2,2,2
45162564,"IT","ITH","ITH4",46.159295,"E",12.522129,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
45162568,"IT","ITH","ITH4",46.195300000000003,"E",12.523815000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
45182260,"IT","ITI","ITI2",43.419702999999998,"E",12.426647000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 A C10 )PI",8,2,2,2,2
45182570,"IT","ITH","ITH4",46.212687000000003,"E",12.550535999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"F00","",5,"8","",0,1,"U400","8",1,0,0,3,8,0,0,0,3,0,0,0,"PI( F00 D10 C10 G20 C10 )PI",8,2,2,2,2
45202286,"IT","ITI","ITI3",43.653593000000001,"E",12.461150999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D10 C10 F00 C10 )PI",8,2,2,2,2
45222566,"IT","ITH","ITH4",46.175435999999998,"E",12.600548,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
47721944,"IT","ITF","ITF3",40.450668999999998,"E",15.295572,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D10 C10 )PI",8,2,2,2,2
47721970,"IT","ITF","ITF3",40.685276000000002,"E",15.315208,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",4,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
47741648,"IT","ITG","ITG1",37.773868999999998,"E",15.107877,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U364","8",3,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 F00 C10 F00 )PI",8,2,2,2,2
47761916,"IT","ITF","ITF3",40.195421000000003,"E",15.321306,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
47761956,"IT","ITF","ITF3",40.556415999999999,"E",15.351531,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 61 C10 )PI",8,2,2,2,2
47781900,"IT","ITF","ITF3",40.049712999999997,"E",15.332623,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",3,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D10 61 D10 )PI",8,2,2,2,2
47781954,"IT","ITF","ITF3",40.537092000000001,"E",15.373461000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 62 C10 )PI",8,2,2,2,2
47801676,"IT","ITG","ITG1",38.023682000000001,"E",15.194585999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",4,"8","",0,2,"U400","8",3,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 Bx1 Bx2 E10 C10 )PI",8,2,2,2,2
47801922,"IT","ITF","ITF3",40.247031,"E",15.372503999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D20","",4,"8","",0,2,"U400","8",3,0,0,3,8,0,0,0,3,0,0,0,"PI( D20 E10 E20 D20 A D20 C10 D20 )PI",8,2,2,2,2
47821666,"IT","ITG","ITG1",37.931936999999998,"E",15.21025,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D10","",3,"8","",0,2,"U364","8",3,1,0,3,8,0,0,0,3,0,0,0,"PI( D10 61 D20 D10 D20 )PI",8,2,2,2,2
47821678,"IT","ITG","ITG1",38.040548999999999,"E",15.218552000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",3,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
42121858,"IT","ITG","ITG2",39.806455,"E",8.7339839999999995,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 62 C10 )PI",8,2,2,2,2
42122368,"IT","ITC","ITC3",44.413724000000002,"E",8.6341710000000003,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D10 G20 24 C10 )PI",8,2,2,2,2
42141772,"IT","ITG","ITG2",39.027752,"E",8.7718699999999998,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D20","",3,"8","",0,2,"U400","8",3,0,0,3,8,0,0,0,3,0,0,0,"PI( D20 D10 62 D10 )PI",8,2,2,2,2
42141776,"IT","ITG","ITG2",39.064,"E",8.7711989999999993,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 62 C10 )PI",8,2,2,2,2
42141794,"IT","ITG","ITG2",39.227096000000003,"E",8.7681660000000008,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U370","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D10 )PI",8,2,2,2,2
42161768,"IT","ITG","ITG2",38.991790999999999,"E",8.7954810000000005,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D20","",5,"8","",0,2,"U400","8",4,0,0,3,8,0,0,0,3,0,0,0,"PI( D20 )PI",8,2,2,2,2
42162552,"IT","ITC","ITC1",46.072372000000001,"E",8.6443259999999995,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 62 C10 G20 C10 )PI",8,2,2,2,2
42181776,"IT","ITG","ITG2",39.064573000000003,"E",8.8171300000000006,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 62 C10 )PI",8,2,2,2,2
42181790,"IT","ITG","ITG2",39.191428999999999,"E",8.8148610000000005,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
42181960,"IT","ITG","ITG2",40.730421,"E",8.7863039999999994,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"B15","",5,"8","",0,1,"U111","8",3,0,0,3,5,0,0,0,3,0,0,0,"PI( B15 C10 Bx1 )PI",8,2,2,2,2
42182550,"IT","ITC","ITC1",46.054684999999999,"E",8.6705860000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 )PI",8,2,2,2,2
42201774,"IT","ITG","ITG2",39.046726999999997,"E",8.8404120000000006,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 61 C10 )PI",8,2,2,2,2
42201882,"IT","ITG","ITG2",40.024895999999998,"E",8.822946,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D20","",4,"8","",0,2,"U364","8",3,0,0,3,8,0,0,0,3,0,0,0,"PI( D20 24 D20 )PI",8,2,2,2,2
42221778,"IT","ITG","ITG2",39.083247,"E",8.8627500000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 D20 C10 D10 C10 )PI",8,2,2,2,2
42221788,"IT","ITG","ITG2",39.173859999999998,"E",8.8611920000000008,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C19",4,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 62 C10 61 C10 62 C10 )PI",8,2,2,2,2
43842614,"IT","ITH","ITH1",46.636228000000003,"E",10.821971,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C20","C23",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C20 )PI",8,2,2,2,2
45242280,"IT","ITI","ITI3",43.598292999999998,"E",12.508255,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C20","C2A",5,"8","",0,2,"U364","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C20 D20 C20 D10 C20 )PI",8,2,2,2,2
45242568,"IT","ITH","ITH4",46.192805,"E",12.627283,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C30","C35",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C30 )PI",8,2,2,2,2
45242590,"IT","ITH","ITH4",46.390805,"E",12.636991,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C20","C23",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C20 G20 D20 G20 )PI",8,2,2,2,2
45282130,"IT","ITI","ITI4",42.243678000000003,"E",12.499961000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 F00 C10 D10 )PI",8,2,2,2,2
45282576,"IT","ITH","ITH4",46.263520999999997,"E",12.682601999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"G10","",5,"8","",0,1,"U364","8",4,0,0,3,8,0,0,0,3,0,0,0,"PI( G10 F00 C30 )PI",8,2,2,2,2
45282580,"IT","ITH","ITH4",46.299520000000001,"E",12.684400999999999,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C30","C35",5,"8","",0,2,"U120","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C30 )PI",8,2,2,2,2
45302578,"IT","ITH","ITH4",46.280867000000001,"E",12.709409000000001,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"D20","",3,"8","",0,2,"U364","8",1,0,0,3,8,0,0,0,3,0,0,0,"PI( D20 C10 D10 C10 D10 C10 F00 C10 )PI",8,2,2,2,2
45302592,"IT","ITH","ITH4",46.406858,"E",12.715785,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C15",4,"8","",0,2,"U120","8",3,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 E20 C10 E20 E10 C10 E10 )PI",8,2,2,2,2
45402146,"IT","ITI","ITI4",42.384411,"E",12.651123,"02/01/09","3","X",8888,88.888887999999994,"8",88.888887999999994,8888,88888,1,"C10","C18",5,"8","",0,2,"U400","8",4,2,2,3,8,0,0,0,3,0,0,0,"PI( C10 E10 C10 E20 13 62 11 A Bx1 62 13 Bx1 C10 )PI",8,2,2,2,2
